id,title,ingredients,ingredients_normalized
0,No-Bake Nut Cookies,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits']","""['brown sugar', 'evaporated milk', 'vanilla', 'pecan', 'butter', 'shredded rice biscuit']"""
1,Jewell Ball'S Chicken,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream']","""['chipped beef', 'chicken breast', 'cream of mushroom soup', 'sour cream']"""
2,Creamy Corn,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper']","""['corn', 'cream cheese', 'butter', 'garlic powder', 'salt', 'pepper']"""
3,Chicken Funny,"['1 large whole chicken', '2 (10 1/2 oz.) cans chicken gravy', '1 (10 1/2 oz.) can cream of mushroom soup', '1 (6 oz.) box Stove Top stuffing', '4 oz. shredded cheese']","""['chicken', 'chicken gravy', 'cream of mushroom soup', 'stuffing', 'cheese']"""
4,Reeses Cups(Candy),"['1 c. peanut butter', '3/4 c. graham cracker crumbs', '1 c. melted butter', '1 lb. (3 1/2 c.) powdered sugar', '1 large pkg. chocolate chips']","""['peanut butter', 'graham cracker', 'butter', 'powdered sugar', 'chocolate chip']"""
5,Cheeseburger Potato Soup,"['6 baking potatoes', '1 lb. of extra lean ground beef', '2/3 c. butter or margarine', '6 c. milk', '3/4 tsp. salt', '1/2 tsp. pepper', '1 1/2 c (6 oz.) shredded Cheddar cheese, divided', '12 sliced bacon, cooked, crumbled and divided', '4 green onion, chopped and divided', '1 (8 oz.) carton sour cream (optional)']","""['baking potato', 'ground beef', 'butter', 'milk', 'salt', 'black pepper', 'cheddar cheese', 'bacon', 'green onion', 'sour cream']"""
6,Rhubarb Coffee Cake,"['1 1/2 c. sugar', '1/2 c. butter', '1 egg', '1 c. buttermilk', '2 c. flour', '1/2 tsp. salt', '1 tsp. soda', '1 c. buttermilk', '2 c. rhubarb, finely cut', '1 tsp. vanilla']","""['sugar', 'butter', 'egg', 'buttermilk', 'flour', 'salt', 'baking soda', 'rhubarb', 'vanilla']"""
7,Scalloped Corn,"['1 can cream-style corn', '1 can whole kernel corn', '1/2 pkg. (approximately 20) saltine crackers, crushed', '1 egg, beaten', '6 tsp. butter, divided', 'pepper to taste']","""['cream-style corn', 'whole kernel corn', 'saltine cracker', 'egg', 'butter', 'pepper']"""
8,Nolan'S Pepper Steak,"['1 1/2 lb. round steak (1-inch thick), cut into strips', '1 can drained tomatoes, cut up (save liquid)', '1 3/4 c. water', '1/2 c. onions', '1 1/2 Tbsp. Worcestershire sauce', '2 green peppers, diced', '1/4 c. oil']","""['round steak', 'tomato', 'water', 'onion', 'worcestershire sauce', 'pepper', 'oil']"""
9,Millionaire Pie,"['1 large container Cool Whip', '1 large can crushed pineapple', '1 can condensed milk', '3 lemons', '1 c. pecans', '2 graham cracker crusts']","""['cool whip', 'crushed pineapple', 'condensed milk', 'lemon', 'pecan', 'graham cracker crust']"""
10,Double Cherry Delight,"['1 (17 oz.) can dark sweet pitted cherries', '1/2 c. ginger ale', '1 (6 oz.) pkg. Jell-O cherry flavor gelatin', '2 c. boiling water', '1/8 tsp. almond extract', '1 c. miniature marshmallows']","""['dark sweet pitted cherry', 'ginger ale', 'cherry gelatin', 'water', 'almond extract', 'marshmallow']"""
11,Buckeye Candy,"['1 box powdered sugar', '8 oz. soft butter', '1 (8 oz.) peanut butter', 'paraffin', '12 oz. chocolate chips']","""['powdered sugar', 'butter', 'peanut butter', 'paraffin', 'chocolate chips']"""
12,Quick Barbecue Wings,"['chicken wings (as many as you need for dinner)', 'flour', 'barbecue sauce (your choice)']","""['chicken', 'flour', 'sauce']"""
13,Taco Salad Chip Dip,"['8 oz. Ortega taco sauce', '8 oz. sour cream', '8 oz. cream cheese', '1 lb. ground beef', '1 pkg. taco seasoning', 'shredded lettuce', '1 large diced tomato', '1 medium diced onion', '1 large diced green pepper', 'shredded Colby or Cheddar cheese']","""['ortega taco sauce', 'sour cream', 'cream cheese', 'ground beef', 'taco seasoning', 'lettuce', 'tomato', 'onion', 'green pepper', 'colby cheese', 'cheddar cheese']"""
14,Pink Stuff(Frozen Dessert),"['1 can pie filling (cherry or strawberry)', '1 can crushed pineapple, drained', '1 can sweetened condensed milk', '1 (8 oz.) container thawed whipped topping', '2 Tbsp. lemon juice']","""['cherry pie filling', 'strawberry pie filling', 'crushed pineapple', 'sweetened condensed milk', 'whipped topping', 'lemon juice']"""
15,Fresh Strawberry Pie,"['1 baked pie shell', '1 qt. cleaned strawberries', '1 1/2 c. water', '4 Tbsp. cornstarch', '1 c. sugar', '1/8 tsp. salt', '4 Tbsp. strawberry jello']","""['pie shell', 'strawberry', 'water', 'cornstarch', 'sugar', 'salt', 'strawberry jello']"""
16,Easy German Chocolate Cake,"['1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix', '1/2 pkg. white cake mix without pudding or 1 Jiffy mix', '1/4 c. Wesson oil']","""['chocolate fudge cake mix', 'white cake mix', 'oil']"""
17,Broccoli Salad,"['1 large head broccoli (about 1 1/2 lb.)', '10 slices bacon, cooked and crumbled', '5 green onions, sliced or 1/4 c. chopped red onion', '1/2 c. raisins', '1 c. mayonnaise', '2 Tbsp. vinegar', '1/4 c. sugar']","""['broccoli', 'bacon', 'onion', 'raisin', 'mayonnaise', 'vinegar', 'sugar']"""
18,Strawberry Whatever,"['1 lb. frozen strawberries in juice', '1 small can crushed pineapple', '3 ripe bananas', '1 c. chopped pecans', '1 large pkg. strawberry Jell-O', '1 1/2 c. boiling water', '1 pt. sour cream']","""['strawberry', 'pineapple', 'banana', 'pecan', 'strawberry jello', 'water', 'sour cream']"""
19,Eggless Milkless Applesauce Cake,"['3/4 c. sugar', '1/2 c. shortening', '1 1/2 c. applesauce', '3 level tsp. soda', '1 tsp. each: cinnamon, cloves and nutmeg', '2 c. sifted flour', '1 c. raisins', '1 c. nuts']","""['sugar', 'shortening', 'applesauce', 'baking soda', 'cinnamon', 'cloves', 'nutmeg', 'flour', 'raisins', 'nuts']"""
20,"Grandma Hanrath'S Banana Breadfort Collins, Colorado","['1 c. sugar', '1/2 c. shortening', '2 eggs (add one at a time)', '1 tsp. salt', '2 tsp. soda', '2 c. flour', '1/4 c. nuts', '2 over-ripe bananas (chopped)']","""['sugar', 'shortening', 'egg', 'salt', 'baking soda', 'flour', 'nut', 'banana']"""
21,Chocolate Frango Mints,"['1 pkg. devils food cake mix', '1 pkg. chocolate fudge pudding mix (instant)', '8 oz. sour cream', '3/4 c. water', '1/2 c. Wesson oil', '4 eggs', '6 oz. chopped Frango mints']","""['devils food cake mix', 'chocolate fudge pudding mix', 'sour cream', 'water', 'oil', 'egg', 'mint']"""
22,Cuddy Farms Marinated Turkey,"['2 c. 7-Up or Sprite', '1 c. vegetable oil', '1 c. Kikkoman soy sauce', 'garlic salt']","""['7-up', 'sprite', 'vegetable oil', 'soy sauce', 'garlic salt']"""
23,Spaghetti Sauce To Can,"['1/2 bushel tomatoes', '1 c. oil', '1/4 c. minced garlic', '6 cans tomato paste', '3 peppers (2 sweet and 1 hot)', '1 1/2 c. sugar', '1/2 c. salt', '1 Tbsp. sweet basil', '2 Tbsp. oregano', '1 tsp. Italian seasoning']","""['tomato', 'oil', 'garlic', 'tomato paste', 'pepper', 'sugar', 'salt', 'basil', 'oregano', 'italian seasoning']"""
24,Prize-Winning Meat Loaf,"['1 1/2 lb. ground beef', '1 c. tomato juice', '3/4 c. oats (uncooked)', '1 egg, beaten', '1/4 c. chopped onion', '1/4 tsp. pepper', '1 1/2 tsp. salt']","""['ground beef', 'tomato juice', 'oats', 'egg', 'onion', 'black pepper', 'salt']"""
25,Smothered Round Steak(Servings: 4)  ,"['2 lb. round steak', '1/2 tsp. ground black pepper', '1 tsp. ground white pepper', '1/2 c. vegetable oil', '2 bell peppers, chopped', '1 c. beef stock or water', '2 tsp. salt', '1 tsp. ground red pepper', 'all-purpose flour (dredging)', '3 medium onions, chopped', '1 celery rib, chopped']","""['round steak', 'black pepper', 'white pepper', 'vegetable oil', 'bell pepper', 'beef stock', 'water', 'salt', 'red pepper', 'flour', 'onion', 'celery']"""
26,Corral Barbecued Beef Steak Strips,"['2 lb. round steak 1/2 to 3/4-inch thick, sliced in strips 1/8-inch thick (or thinner) and 3 1/2 to 4-inches long (easily sliced if partially frozen)', '2 Tbsp. cooking oil', '1 can (15 oz.) tomato sauce', '1/3 c. water', '2 Tbsp. brown sugar', '1 Tbsp. prepared mustard', '1 tbsp. Worcestershire sauce', '1 medium sized onion, thinly sliced']","""['round steak', 'cooking oil', 'tomato sauce', 'water', 'brown sugar', 'mustard', 'worcestershire sauce', 'onion']"""
27,Easy Fudge,"['1 (14 oz.) can sweetened condensed milk', '1 (12 oz.) pkg. semi-sweet chocolate chips', '1 (1 oz.) sq. unsweetened chocolate (if desired)', '1 1/2 c. chopped nuts (if desired)', '1 tsp. vanilla']","""['sweetened condensed milk', 'semi-sweet chocolate chips', 'unsweetened chocolate', 'chopped nuts', 'vanilla']"""
28,Taco-Filled Green Pepper,"['1 lb. Ground Beef', '1 pkg. taco seasoning', '1 san Kidney beans', '1 onion, chopped', '1 C salsa', '4 green peppers', '1 medium Tomato, chopped', '1/2 C cheddar cheese, shredded', '1/2 C sour cream']","""['ground beef', 'taco seasoning', 'kidney beans', 'onion', 'salsa', 'green pepper', 'tomato', 'cheddar cheese', 'sour cream']"""
29,One Hour Rolls,"['1 c. milk', '2 Tbsp. sugar', '1 pkg. dry yeast', '1 Tbsp. salt', '3 Tbsp. Crisco oil', '2 c. plain flour']","""['milk', 'sugar', 'yeast', 'salt', 'crisco oil', 'flour']"""
30,Punch Bowl Fruit Salad,"['2 large cans sliced peaches', '2 large cans fruit cocktail', '1 large can diced pineapple', '1 qt. fresh strawberries', '2 red apples', '2 yellow apples', '4 large ripe bananas', '1 lb. white grapes', '1 lb. purple grapes']","""['sliced peach', 'fruit cocktail', 'diced pineapple', 'strawberry', 'apple', 'banana', 'white grape', 'purple grape']"""
31,Summer Chicken,"['1 pkg. chicken cutlets', '1/2 c. oil', '1/3 c. red vinegar', '2 Tbsp. oregano', '2 Tbsp. garlic salt']","""['chicken', 'oil', 'red vinegar', 'oregano', 'garlic']"""
32,Cherry Pizza,"['2 cans cherry pie mix', '1 box deluxe white cake mix', '1 stick butter', '1 c. ground nuts']","""['cherry pie mix', 'white cake mix', 'butter', 'ground nuts']"""
