id,title,ingredients,directions,link,source,ner
551171,Warm Potato Salad,"{2 c. cubed red potatoes,2 Tbsp. finely chopped purple onion,1 Tbsp. plus 1 tsp. white wine vinegar,1 Tbsp. freeze-dried chives,1 tsp. olive oil,1/4 tsp. sugar,1/4 tsp. salt,1/4 tsp. pepper}","{Place potatoes in a saucepan. Add water to cover.,Bring to a boil.,""Cover, reduce heat and simmer 10 minutes or until the potatoes are tender."",Drain.,Place potatoes and onion in a bowl. Combine vinegar and remaining ingredients.,Stir well. Add to the potato mixture; toss gently to coat.,Yields 4 servings (about 69 calories per 1/2 cup serving).}",www.cookbooks.com/Recipe-Details.aspx?id=699285,Gathered,"{potatoes,purple onion,white wine vinegar,chives,olive oil,sugar,salt,pepper}"
551172,Rotini Salad,"{12 oz. pkg. rotini,6 oz. pkg. Good Seasons Zesty Italian salad mix,16 oz. Kraft Zesty Italian dressing,""2 cucumbers, diced"",""2 tomatoes, diced"",""1 bell pepper, diced"",""1 medium size purple onion, diced"",""black olives, optional""}",{Cook rotini according to pkg. directions. Mix all ingredients together with rotini and refrigerate.},www.cookbooks.com/Recipe-Details.aspx?id=4586,Gathered,"{rotini,Italian salad mix,Italian dressing,cucumbers,tomatoes,bell pepper,purple onion,black olives}"
551173,African Yam Fritters,"{1 1/2 lb. yams,1 egg,1 chopped onion,1 chopped tomato,""1 small green chile, minced"",1/2 c. bread crumbs,peanut oil,pinch of cayenne pepper,salt and pepper}","{""Boil, peel and mash yams."",Beat egg.,""Saute tomato, chile and onion in peanut oil until onion is transparent and soft."",""Combine sauteed mixture, egg, bread crumbs, seasonings and yams."",Form mixture into patties and brown on both sides.,Eat!,Makes 10 small servings.}",www.cookbooks.com/Recipe-Details.aspx?id=432602,Gathered,"{yams,egg,onion,tomato,green chile,bread crumbs,peanut oil,cayenne pepper,salt}"
551174,Savory Pork Chops,"{pork chops,apples,brown sugar,cinnamon,""flour, salt and pepper""}","{Select chops 3/4-inch thick.,Salt and dredge with flour; fry in small amount of oil until brown on both sides.}",www.cookbooks.com/Recipe-Details.aspx?id=238899,Gathered,"{pork chops,apples,brown sugar,cinnamon,flour}"
551175,Szechuan Sesame Noodles,"{1 lb. linguini,2 Tbsp. oil,3 Tbsp. peanut butter,2 tsp. chili powder,2 tsp. Tabasco sauce,1 1/2 Tbsp. garlic,3 Tbsp. soy sauce,1 Tbsp. oil,2 tsp. fresh ginger,1 tsp. salt,2 tsp. sugar,3 Tbsp. sesame seed}","{Cook 1 pound of linguini in water with 1 tablespoon oil to prevent sticking.,""Drain, rinse and add 1 tablespoon oil to toss.""}",www.cookbooks.com/Recipe-Details.aspx?id=557662,Gathered,"{linguini,oil,peanut butter,chili powder,Tabasco sauce,garlic,soy sauce,oil,fresh ginger,salt,sugar,sesame seed}"
551176,Fortified Milk,"{1 qt. whole milk or low-fat milk,1 c. instant nonfat dry milk powder}",{Pour liquid milk into blender. Add dry milk. Blend well. Makes 1 quart. Refrigerate.},www.cookbooks.com/Recipe-Details.aspx?id=18467,Gathered,"{milk,milk}"
551177,Shredded Au Gratin Potatoes,"{6 medium potatoes,1 tsp. salt,1/4 tsp. pepper,onion salt,""4 oz. sharp process American cheese, shredded (1 c.)"",1 c. milk}","{Cook unpeeled potatoes in water until almost tender.,""Cool, peel and shred to make about 4 cups."",Place in greased 10 x 6 x 1 1/2-inch baking dish.,Sprinkle with salt and pepper; sprinkle liberally with onion salt.,Top with cheese; pour milk over.,Bake at 350u00b0 for 30 minutes or until browned.,Makes 5 to 6 servings.}",www.cookbooks.com/Recipe-Details.aspx?id=892264,Gathered,"{potatoes,salt,pepper,onion salt,American cheese,milk}"
551178,Raw Vegetable Salad,"{1 head cauliflower,1 bunch broccoli,1 tomato,""1 carrot, grated"",onions,1 c. salad dressing,2 tsp. prepared mustard,2 tsp. vinegar,2 Tbsp. sugar}","{Cut all vegetables into small pieces.,Use only top of broccoli.,Serves 15.}",www.cookbooks.com/Recipe-Details.aspx?id=202842,Gathered,"{cauliflower,broccoli,tomato,carrot,onions,salad dressing,mustard,vinegar,sugar}"
551179,Stuffed Burger Bundles,"{1 c. herb seasoned stuffing mix,1/3 c. evaporated milk,1 lb. ground beef,1 can cream of celery or mushroom soup,2 tsp. Worcestershire sauce,1 Tbsp. catsup}","{Prepare stuffing according to package directions.,Combine meat and milk.,Divide into 5 patties.,Pat out to 6-inch circles. Put 1/4 cup stuffing mix in center of each; draw meat over and seal.,Place in a 1 1/2-quart casserole.,Combine remaining ingredients; pour over meat.,""Bake, uncovered, at 350u00b0 for 45 minutes.""}",www.cookbooks.com/Recipe-Details.aspx?id=530385,Gathered,"{herb seasoned stuffing mix,milk,ground beef,cream of celery,Worcestershire sauce,catsup}"
551180,Apple Blossom Cake,"{1 1/2 c. oil,2 c. sugar,2 eggs,1 tsp. salt,1 1/2 tsp. soda,3 c. chopped apples,1 c. chopped nuts,3 c. plain flour,1/2 tsp. cinnamon,1/2 tsp. nutmeg,1 tsp. vanilla}",{Mix well and cook in tube pan at 350u00b0 until done.},www.cookbooks.com/Recipe-Details.aspx?id=651748,Gathered,"{oil,sugar,eggs,salt,soda,apples,nuts,flour,cinnamon,nutmeg,vanilla}"
551181,Myrtle'S Taffy,"{4 c. sugar,1/3 c. vinegar,2/3 c. boiling water,2 Tbsp. butter}","{Melt the butter.,""Add sugar, hot water and vinegar."",Stir until sugar is dissolved.,Boil until mixture turns brittle in cold water.,Turn into a well-buttered pan to cool.,""Pull until white, then cut into cubes."",""(This is a good time to invite friends over to have a \""candy making\"" party and to help each other, also to fellowship.)""}",www.cookbooks.com/Recipe-Details.aspx?id=493836,Gathered,"{sugar,vinegar,boiling water,butter}"
551182,Chicken Fajitas,"{""1 pkg. boneless, skinless chicken breasts, diced"",1/2 c. onion,1/2 c. bell pepper,1/4 c. Mexican seasoning sauce,1 c. diced tomatoes,1/2 (8 oz.) pkg. Monterey Jack/Colby cheese (it comes mixed)}","{""Cook in skillet in enough oil to cover the bottom all of the first ingredients until chicken is done, about 10 minutes."",Add second ingredients and mix it all together in skillet.,Roll in tortilla shells.,Bake 10 minutes at 350u00b0 covered in a Pammed pan.}",www.cookbooks.com/Recipe-Details.aspx?id=461370,Gathered,"{chicken breasts,onion,bell pepper,seasoning sauce,tomatoes,Colby cheese}"
551183,Lime Salad,"{1 pkg. lime jello,16 large marshmallows,1 (3 oz.) pkg. cream cheese,1 (No. 2) can crushed pineapple,1/2 c. chopped pecans,1/2 c. chopped maraschino cherries,1/2 pt. whipping cream}","{Dissolve jello in 2 cups hot water.,Add marshmallows and cream cheese.,Stir until melted.,Place in refrigerator until it begins to set.,""Add crushed pineapple (drained), chopped nuts and cherries."",Fold in whipping cream.,Return to refrigerator until congealed.}",www.cookbooks.com/Recipe-Details.aspx?id=224985,Gathered,"{lime jello,marshmallows,cream cheese,pineapple,pecans,maraschino cherries,whipping cream}"
551184,Orange Fudge,"{7 c. sugar,3 sticks margarine,1 can cream,1 1/2 lb. orange candy melts,2 Tbsp. orange flavoring}","{In a large kettle melt margarine.,Add cream and sugar.,""Cook over medium heat, stirring constantly."",Cook until soft ball stage.,Remove from heat.,Add candy melts and flavoring.,Stir well and pour into large pan.}",www.cookbooks.com/Recipe-Details.aspx?id=28218,Gathered,"{sugar,margarine,cream,orange candy melts,orange flavoring}"
