fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1109531,"The Hain Celestial Group, Inc.","","",15839008233,"ORGANIC BLUE CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEASONING (TOMATO POWDER, RICE FLOUR, SALT, SPICES, PAPRIKA [COLOR], ONION, TORULA YEAST, NATURAL SMOKE FLAVOR).","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109532,The Kroger Co.,"","",11110857378,"ORGANIC GREEN PEAS, WATER, ORGANIC RAW CANE SUGAR, SEA SALT.","",125,g,"",Canned Vegetables,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109533,"Whole Foods Market, Inc.","","",99482431037,ORGANIC STEEL CUT OATS.,"",40,g,"",Cereal,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109534,"The Hain Celestial Group, Inc.","","",15839008257,"ORGANIC YELLOW CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEA SALT.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109535,"The Hain Celestial Group, Inc.","","",15839022192,"ORGANIC WHITE CORN, ORGANIC EXPELLER PRESSED SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEA SALT.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109536,"Whole Foods Market, Inc.","","",99482454425,"ORGANIC WHOLE GRAIN TOASTED OATS (ORGANIC WHOLE GRAIN ROLLED OATS, ORGANIC CANE SUGAR, ASCORBIC ACID [VITAMIN C], MIXED TOCOPHEROLS [VITAMIN EJ ADDED TO MAINTAIN FRESHNESS), ORGANIC BROWN RICE SYRUP, ORGANIC WHOLE GRAIN BROWN RICE FLOUR, ORGANIC DARK CHOCOLATE CHIPS (ORGANIC CANE SUGAR, ORGANIC CHOCOLATE LIQUOR, ORGANIC COCOA BUTTER, ORGANIC SOY LECITHIN [EMULSIFIER], ORGANIC VANILLA EXTRACT), ORGANIC CANE SUGAR, ORGANIC OAT SYRUP SOLIDS, ORGANIC MOLASSES, CONTAINS LESS THAN 2% OF THE FOLLOWING: ORGANIC VANILLA EXTRACT, SALT, SOY LECITHIN (EMULSIFIER), ORGANIC DRIED COCONUT, NATURAL FLAVORS.","",35,g,"","Snack, Energy & Granola Bars",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109537,Purely Elizabeth ,"","",855140002199,"ORGANIC GLUTEN-FREE OATS, ORGANIC COCONUT PALM SUGAR, ORGANIC RAW VIRGIN COCONUT OIL, DRIED BLUEBERRIES (BLUEBERRIES, SUGAR, SUNFLOWER OIL), ORGANIC SUNFLOWER SEEDS, ORGANIC PUFFED AMARANTH, ORGANIC HEMP SEEDS, ORGANIC MILLET FLAKES, ORGANIC QUINOA FLAKES, ORGANIC CHIA SEEDS, ORGANIC CINNAMON, SALT.","",28,g,"",Cereal,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109538,"The Hain Celestial Group, Inc.","","",15839007953,"ORGANIC WHITE CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, ORGANIC WHOLE GRAIN STEEL CUT OATS, ORGANIC BROWN BUCKWHEAT GROATS, ORGANIC CORN GRITS, ORGANIC FLAX SEED, ORGANIC EVAPORATED CANE SUGAR, ORGANIC BLACK SESAME SEED, ORGANIC BARLEY, SEA SALT, ORGANIC WHOLE GRAIN MILLET, ORGANIC AMARANTH, ORGANIC WHOLE RYE.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109539,Purely Elizabeth ,"","",855140002212,"ORGANIC GLUTEN-FREE OATS, ORGANIC COCONUT PALM SUGAR, ORGANIC RAW VIRGIN COCONUT OIL, ORGANIC SUNFLOWER SEEDS, ORGANIC PUFFED AMARANTH, ORGANIC MILLET FLAKES, ORGANIC QUINOA FLAKES, ORGANIC CHIA SEEDS, ORGANIC CINNAMON, SALT.","",28,g,"",Cereal,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109540,Cooperative Regions of Organic Producer Pools,"","",93966001754,"ORGANIC PORK, WATER, SEA SALT, ORGANIC HONEY, CULTURED CELERY JUICE POWDER, ORGANIC SPICES.","",14,g,"","Bacon, Sausages & Ribs",LI,"",2020-04-17,2020-11-13,United States,"","","",""
