id,ingredients_normalized
0,"""['brown sugar', 'evaporated milk', 'vanilla', 'pecan', 'butter', 'margarine', 'biscuit']"""
1,"""['chipped beef', 'chicken', 'mushroom soup', 'sour cream']"""
2,"""['corn', 'cream cheese', 'butter', 'garlic powder', 'salt', 'pepper']"""
3,"""['chicken', 'chicken gravy', 'mushroom soup', 'stuffing', 'cheese']"""
4,"""['peanut butter', 'graham cracker', 'butter', 'sugar', 'chocolate']"""
5,"""['potato', 'beef', 'butter', 'milk', 'salt', 'pepper', 'cheddar', 'bacon', 'onion', 'sour cream']"""
6,"""['sugar', 'butter', 'egg', 'buttermilk', 'flour', 'salt', 'soda', 'rhubarb', 'vanilla']"""
7,"""['cream corn', 'corn', 'cracker', 'egg', 'butter', 'pepper']"""
8,"""['beef', 'tomato', 'water', 'onion', 'worcestershire sauce', 'pepper', 'oil']"""
9,"""['cool whip', 'pineapple', 'condensed milk', 'lemon', 'pecan', 'graham cracker']"""
10,"""['cherries', 'ginger ale', 'jell-o', 'water', 'almond extract', 'marshmallow']"""
11,"""['powdered sugar', 'butter', 'peanut butter', 'paraffin', 'chocolate']"""
12,"""['chicken', 'flour', 'barbecue sauce']"""
13,"""['taco sauce', 'sour cream', 'cream cheese', 'beef', 'taco seasoning', 'lettuce', 'tomato', 'onion', 'green pepper', 'cheese']"""
14,"""['pie filling', 'pineapple', 'sweetened condensed milk', 'whipped topping', 'lemon juice']"""
15,"""['pie shell', 'strawberry', 'water', 'cornstarch', 'sugar', 'salt', 'strawberry jello']"""
16,"""['chocolate cake mix', 'white cake mix', 'wesson oil']"""
17,"""['broccoli', 'bacon', 'onion', 'raisin', 'mayonnaise', 'vinegar', 'sugar']"""
18,"""['strawberry', 'pineapple', 'banana', 'pecan', 'jello', 'water', 'sour cream']"""
19,"""['sugar', 'shortening', 'applesauce', 'soda', 'cinnamon', 'cloves', 'nutmeg', 'flour', 'raisin', 'nut']"""
20,"""['sugar', 'shortening', 'egg', 'salt', 'soda', 'flour', 'nut', 'banana']"""
21,"""['cake mix', 'pudding mix', 'sour cream', 'water', 'oil', 'egg', 'mint']"""
22,"""['7-up', 'vegetable oil', 'soy sauce', 'garlic']"""
23,"""['tomato', 'oil', 'garlic', 'tomato paste', 'pepper', 'sugar', 'salt', 'basil', 'oregano', 'italian seasoning']"""
24,"""['beef', 'tomato juice', 'oat', 'egg', 'onion', 'pepper', 'salt']"""
25,"""['beef', 'pepper', 'oil', 'beef stock', 'salt', 'flour', 'onion', 'celery']"""
26,"""['beef', 'cooking oil', 'tomato sauce', 'water', 'brown sugar', 'mustard', 'worcestershire sauce', 'onion']"""
27,"""['sweetened condensed milk', 'chocolate', 'nut', 'vanilla']"""
28,"""['beef', 'taco seasoning', 'kidney bean', 'onion', 'salsa', 'pepper', 'tomato', 'cheddar cheese', 'sour cream']"""
29,"""['milk', 'sugar', 'yeast', 'salt', 'cisco', 'flour']"""
30,"""['peach', 'fruit cocktail', 'pineapple', 'strawberry', 'apple', 'banana', 'grape']"""
31,"""['chicken', 'oil', 'vinegar', 'oregano', 'garlic']"""
32,"""['cherry pie mix', 'cake mix', 'butter', 'nut']"""
33,"""['egg', 'salt', 'pepper', 'half and half', 'potato', 'cheddar', 'onion']"""
34,"""['macaroni', 'cheese', 'tuna', 'pimento', 'onion']"""
35,"""['artichoke', 'mayonnaise', 'parmesan']"""
36,"""['sour cream', 'vegetable soup mix', 'broccoli', 'cheddar']"""
37,"""['spaghetti', 'salad supreme', 'italian dressing']"""
38,"""['pear', 'lime gelatin', 'cream cheese', 'lemon yogurt']"""
39,"""['watermelon', 'sugar', 'apple vinegar', 'cloves', 'cinnamon']"""
40,"""['chicken', 'potato', 'onion', 'creamed corn', 'pea', 'field pea', 'butter bean', 'tomato', 'tomato juice', 'macaroni', 'pepper', 'salt', 'sugar']"""
41,"""['butter', 'sugar', 'egg', 'flour', 'baking powder', 'salt', 'milk', 'vanilla', 'brown sugar', 'cinnamon']"""
42,"""['flour', 'sugar', 'baking powder', 'yeast', 'buttermilk', 'soda', 'margarine', 'water']"""
43,"""['marshmallow', 'margarine', 'peppermint', 'crescent roll']"""
44,"""['cake mix', 'water', 'brown sugar', 'butter', 'egg', 'nut']"""
45,"""['flour', 'sugar', 'oleo', 'egg', 'chocolate syrup']"""
46,"""['flour', 'beer', 'sugar']"""
47,"""['margarine', 'onion', 'celery', 'flour', 'curry powder', 'mushroom', 'celery soup', 'broccoli', 'chicken', 'cheese']"""
48,"""['flour', 'baking powder', 'salt', 'butter', 'sugar', 'egg yolk', 'vanilla', 'candy']"""
49,"""['beef', 'water', 'sugar', 'onion soup mix', 'tomato', 'tomato sauce', 'mixed vegetables']"""
50,"""['chicken', 'cream of chicken soup', 'cream of mushroom soup', 'green chili salsa sauce', 'green chili', 'milk', 'onion', 'corn tortilla']"""
51,"""['cabbage', 'carrot', 'green pepper', 'onion', 'mayonnaise', 'vinegar', 'sugar', 'celery seed', 'salt']"""
52,"""['flounder', 'tomato', 'green pepper', 'lemon juice', 'salad oil', 'salt', 'onion', 'basil', 'pepper', 'red pepper sauce']"""
53,"""['green bean', 'yellow bean', 'kidney bean', 'sugar', 'salad oil', 'vinegar', 'water']"""
54,"""['corn', 'sour cream', 'corn bread mix', 'margarine']"""
55,"""['beef', 'onion', 'tomato soup', 'noodle', 'oregano', 'salt', 'water', 'cheese']"""
56,"""['cabbage', 'mustard', 'beef', 'celery soup', 'onion']"""
