fdc_id,description,mapped_ingredient
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","""biscuit"""
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","""biscuit"""
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","""cinnamon rolls"""
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","""cinnamon roll"""
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","""bread crumbs"""
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","""bread crumbs"""
167515,"George Weston Bakeries, Thomas English Muffins","""english muffin"""
167515,"George Weston Bakeries, Thomas English Muffins","""english muffin"""
167516,"Waffles, buttermilk, frozen, ready-to-heat","""waffles"""
167516,"Waffles, buttermilk, frozen, ready-to-heat","""waffles"""
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted","""waffle"""
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted","""waffle"""
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved","""waffle"""
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved","""waffle"""
167519,"Waffle, plain, frozen, ready-to-heat, microwave","""waffle"""
167519,"Waffle, plain, frozen, ready-to-heat, microwave","""waffle"""
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","""graham cracker"""
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","""graham cracker"""
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust","""chocolate"""
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust","""chocolate"""
167522,"Pie, Dutch Apple, Commercially Prepared","""apple"""
167522,"Pie, Dutch Apple, Commercially Prepared","""apple"""
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour","""pie crust"""
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour","""pie crust"""
167524,"Waffles, chocolate chip, frozen, ready-to-heat","""chocolate chip"""
167524,"Waffles, chocolate chip, frozen, ready-to-heat","""chocolate chip"""
167525,"Tostada shells, corn","""corn tortillas"""
167525,"Tostada shells, corn","""corn tortillas"""
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","""salvadoran sweet cheese"""
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","""salvadoran sweet cheese"""
167527,"Bread, pound cake type, pan de torta salvadoran","""bread crumbs"""
167527,"Bread, pound cake type, pan de torta salvadoran","""bread crumbs"""
167528,"Pastry, Pastelitos de Guava (guava pastries)","""guava"""
167528,"Pastry, Pastelitos de Guava (guava pastries)","""guava"""
167529,"Crackers, snack, Goya Crackers","""cracker crumbs"""
167529,"Crackers, snack, Goya Crackers","""cracker crumbs"""
167530,"Crackers, cream, Gamesa Sabrosas","""cream cracker"""
167530,"Crackers, cream, Gamesa Sabrosas","""cream cracker"""
167531,"Crackers, cream, La Moderna Rikis Cream Crackers","""cream cracker"""
167531,"Crackers, cream, La Moderna Rikis Cream Crackers","""cream cracker"""
167532,"Bread, white wheat","""wheat flour"""
167532,"Bread, white wheat","""wheat flour"""
167533,"Bagels, wheat","""wheat"""
167533,"Bagels, wheat","""wheat"""
167534,"Cream puff, eclair, custard or cream filled, iced","""cream"""
167534,"Cream puff, eclair, custard or cream filled, iced","""cream"""
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable","""tortilla"""
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable","""tortilla"""
167536,"Snacks, beef jerky, chopped and formed","""beef jerky"""
167536,"Snacks, beef jerky, chopped and formed","""beef jerky"""
167537,"Snacks, corn-based, extruded, chips, plain","""corn chips"""
167537,"Snacks, corn-based, extruded, chips, plain","""corn chips"""
